                                                                                HeartRate                                                                       25.01.2516.42.591   
Average,RRData
153.06122,392
73.700005,808
74.5,784
74.700005,800
75.5,776
75.8,784
76.5,768
75.4,824
75.1,808
75.1,800
76.200005,760
76.3,784
75.9,800
76.1,784
76.9,760
76.8,784
77,776
77.6,760
77.3,784
76.8,792
76.700005,784
76.200005,800
75.6,808
75.700005,792
75.700005,792
75.700005,792
75.9,784
76.6,768
77.3,760
77.8,760
78.4,752
79.3,736
80,736
80.5,736
80.3,752
78.700005,800
76.700005,832
74.700005,856
74.6,808
73.200005,856
72.5,848
71.8,856
71.3,856
71.5,832
73.5,768
74.1,744
74.200005,808
73.200005,848
73.700005,800
74.8,776
75.6,776
76.1,776
76.9,760
77.8,752
78.4,752
78.3,768
77.3,800
76.8,792
77,776
77.1,776
76.700005,792
76.200005,800
75.8,800
75.8,792
75.1,816
75.5,784
75.6,792
75.700005,792
75.700005,792
75.700005,792
75.3,808
74.8,816
75.1,792
74.9,808
75.4,784
75.1,808
75.1,800
75.3,792
76.1,768
76.200005,784
76.5,776
77.5,752
79,728
80.6,712
82.3,696
83.200005,704
84.700005,680
85.8,680
86.200005,688
85.3,720
84.4,728
83.3,744
82,760
81.3,752
80.1,776
79.3,776
78.700005,776
78.8,760
79.1,752
79.8,736
80.3,736
82.4,688
84.5,672
85.9,672
86.6,680
87.1,680
86.5,704
84.5,752
83.8,776
81.8,776
80.9,760
80.1,768
79.3,776
79.200005,760
78.6,776
78.4,768
79.3,736
79.700005,744
79.700005,752
80.200005,736
81.1,720
82.1,712
82.200005,728
82.3,728
82.1,736
81.9,736
82.1,728
82.200005,728
82.5,720
83,712
84.6,680
85.1,696
85.1,704
84.6,720
84.200005,720
83.4,736
82.3,752
82.1,736
81.6,744
81.6,736
81.8,728
81.700005,736
81.6,736
81.3,744
81.9,720
82.3,720
82.6,720
82.8,720
84.1,688
85,688
85,456
85,936
84.8,712
85.5,688
86.3,680
87.200005,672
87.5,680
87.1,696
86.5,704
85.8,712
85.3,712
84.4,728
84.6,704
84.5,712
83.6,736
83,736
82.3,744
82.3,728
83.5,696
84.6,688
85.4,688
85.3,704
85.3,704
85.3,704
